persona_id,source,psid_index,latent_ability,group,name,email,trait_Age,trait_Sex,trait_Education,trait_Class of Worker,trait_Marital Status,trait_Place of Birth,trait_Big Five Scores 1,trait_Big Five Scores 2,trait_Defining Quirks,trait_Personal Time,trait_Lifestyle,trait_Political Views,trait_Fertility,trait_Income Bracket,trait_Housing Situation,trait_Relationship with Technology,trait_Hobbies,trait_Communication Style,trait_Risk Tolerance,trait_Travel Frequency,trait_Pet Ownership,trait_Prior Occupation,trait_Industry
10,psid,42,0.3955798312042801,,,,29,Male,Bachelor's Degree,Private,Married,New York,High extraversion,High openness,Loves puzzles,Gaming,Workaholic,Democrat,Has children,Middle income,Rents,Tech-savvy,Crafting,Reserved,Risk-averse,Frequent traveler,Owns other pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
11,psid,11,-1.962002115034831,,,,38,Male,Master's Degree,Private,Single,New Jersey,High conscientiousness,High openness,Always punctual,Traveling,Sedentary,Republican,Planning to have children,Middle income,Rents,Tech-savvy,Hiking,Humorous,Moderate risk-taker,Frequent traveler,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
12,psid,43,1.5605487719367706,,,,34,Male,Master's Degree,Self-Employed,Divorced,Florida,High conscientiousness,High extraversion,Always punctual,Gaming,Sedentary,Democrat,Undecided,Middle income,Owns home,Tech-savvy,Playing musical instruments,Diplomatic,Risk-averse,Rare traveler,Owns other pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
13,psid,43,1.6314831115445783,,,,34,Male,Master's Degree,Private,Divorced,New York,High neuroticism,High neuroticism,Always punctual,Cooking,Active,Green,Has children,Middle income,Rents,Tech-savvy,Crafting,Diplomatic,High risk-taker,Rare traveler,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
14,psid,24,0.32480371056777385,,,,36,Female,Master's Degree,Private,Married,California,High conscientiousness,High extraversion,Loves puzzles,Reading,Sedentary,Independent,Planning to have children,Middle income,Owns home,Tech-savvy,Playing musical instruments,Open,High risk-taker,Occasional traveler,Owns other pets,Management analysts,"Professional, Scientific, and Technical Services"
15,psid,4,0.37457396805120435,,,,37,Male,Master's Degree,Private,Married,Pennsylvania,High conscientiousness,High openness,Introverted,Gaming,Sedentary,Democrat,Undecided,Middle income,Rents,Tech-savvy,Playing musical instruments,Direct,Risk-averse,Rare traveler,Owns a dog,Computer programmers,"Professional, Scientific, and Technical Services"
16,psid,64,-0.27151447406152074,,,,44,Male,Master's Degree,Private,Married,Canada,High conscientiousness,High conscientiousness,Loves puzzles,Gaming,Active,Democrat,Undecided,Middle income,Owns home,Tech-savvy,Playing musical instruments,Diplomatic,Moderate risk-taker,Occasional traveler,No pets,Biological and life scientists,"Professional, Scientific, and Technical Services"
17,psid,65,0.46824495171055003,,,,42,Male,Master's Degree,Private,Single,Florida,High extraversion,High extraversion,Extremely organized,Reading,Active,Republican,Undecided,Middle income,Owns home,Tech-savvy,Hiking,Diplomatic,High risk-taker,Never travels,Owns a dog,Computer programmers,"Professional, Scientific, and Technical Services"
18,psid,42,-0.793699111556477,,,,29,Male,Bachelor's Degree,Private,Divorced,Connecticut,High neuroticism,High neuroticism,Always punctual,Playing sports,Sedentary,Republican,Has children,Middle income,Owns home,Tech-savvy,Gardening,Humorous,Risk-averse,Frequent traveler,No pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
19,psid,82,1.0994348959503981,,,,43,Male,Master's Degree,Private,Married,New Jersey,High conscientiousness,High conscientiousness,Loves puzzles,Traveling,Active,Democrat,Does not have children,Middle income,Rents,Tech-savvy,Crafting,Diplomatic,Risk-averse,Frequent traveler,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
20,psid,43,-1.204293613825506,,,,34,Male,Master's Degree,Private,Married,Canada,High neuroticism,High neuroticism,Introverted,Gaming,Workaholic,Republican,Undecided,Middle income,Owns home,Tech-savvy,Hiking,Diplomatic,Risk-averse,Rare traveler,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
21,psid,30,0.486128690691649,,,,42,Male,Bachelor's Degree,Private,Single,New Jersey,High extraversion,High neuroticism,Loves puzzles,Gaming,Laid-back,Independent,Does not have children,Middle income,Rents,Tech-savvy,Crafting,Humorous,Moderate risk-taker,Frequent traveler,Owns a dog,Computer programmers,"Professional, Scientific, and Technical Services"
22,psid,63,-0.21774868229694788,,,,38,Female,Master's Degree,Private,Married,Connecticut,High openness,High conscientiousness,Always punctual,Cooking,Laid-back,Green,Planning to have children,Middle income,Owns home,Tech-savvy,Playing musical instruments,Humorous,High risk-taker,Occasional traveler,Owns a dog,Technical writers,"Professional, Scientific, and Technical Services"
23,psid,44,-1.860977710743701,,,,29,Male,Bachelor's Degree,Private,Single,Canada,High neuroticism,High neuroticism,Loves puzzles,Gaming,Active,Democrat,Has children,Middle income,Rents,Tech-savvy,Gardening,Humorous,High risk-taker,Rare traveler,No pets,Computer programmers,"Professional, Scientific, and Technical Services"
24,psid,25,1.2043693529583004,,,,39,Male,Bachelor's Degree,Public,Single,Pennsylvania,High extraversion,High conscientiousness,Very social,Cooking,Active,Independent,Has children,Middle income,Owns home,Tech-savvy,Playing musical instruments,Reserved,Risk-averse,Rare traveler,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
25,psid,16,1.0530997361895829,,,,32,Male,Bachelor's Degree,Private,Single,Florida,High agreeableness,High neuroticism,Always punctual,Cooking,Balanced,Republican,Planning to have children,Middle income,Owns home,Tech-savvy,Photography,Open,Moderate risk-taker,Occasional traveler,Owns a dog,Computer programmers,"Professional, Scientific, and Technical Services"
26,psid,17,-0.7922915641860575,,,,35,Male,Bachelor's Degree,Public,Divorced,Florida,High neuroticism,High agreeableness,Always punctual,Cooking,Active,Independent,Does not have children,Middle income,Owns home,Tech-savvy,Gardening,Open,Moderate risk-taker,Occasional traveler,No pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
27,psid,36,-0.5140180152196352,,,,32,Male,Associate's Degree,Private,Divorced,Connecticut,High openness,High openness,Loves puzzles,Reading,Laid-back,Democrat,Undecided,Middle income,Owns home,Tech-savvy,Hiking,Direct,Moderate risk-taker,Occasional traveler,No pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
28,psid,28,-0.589591754152178,,,,40,Female,Master's Degree,Private,Single,Florida,High conscientiousness,High extraversion,Loves puzzles,Gaming,Balanced,Independent,Has children,Middle income,Rents,Tech-savvy,Photography,Direct,Moderate risk-taker,Never travels,Owns other pets,Operations and systems researchers and analysts,"Professional, Scientific, and Technical Services"
29,psid,10,1.1332915447869483,,,,41,Male,Associate's Degree,Private,Divorced,Pennsylvania,High conscientiousness,High agreeableness,Introverted,Cooking,Balanced,Libertarian,Undecided,Middle income,Owns home,Tech-savvy,Hiking,Reserved,Moderate risk-taker,Frequent traveler,No pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
30,psid,27,0.04246366906767729,,,,31,Female,Bachelor's Degree,Private,Divorced,Florida,High neuroticism,High conscientiousness,Very social,Traveling,Workaholic,Republican,Planning to have children,Middle income,Owns home,Tech-savvy,Photography,Open,Risk-averse,Frequent traveler,No pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
31,psid,83,-2.937050573172157,,,,40,Female,Bachelor's Degree,Private,Single,Florida,High extraversion,High neuroticism,Introverted,Reading,Laid-back,Republican,Does not have children,Middle income,Rents,Tech-savvy,Crafting,Humorous,Moderate risk-taker,Occasional traveler,Owns other pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
32,psid,0,1.5205817976986054,,,,38,Female,Bachelor's Degree,Private,Divorced,California,High agreeableness,High neuroticism,Introverted,Cooking,Active,Independent,Planning to have children,Middle income,Rents,Tech-savvy,Hiking,Reserved,Moderate risk-taker,Frequent traveler,Owns other pets,Biological and life scientists,"Professional, Scientific, and Technical Services"
33,psid,31,0.7952614544195207,,,,37,Male,Associate's Degree,Private,Single,Pennsylvania,High openness,High neuroticism,Very social,Cooking,Laid-back,Independent,Does not have children,Middle income,Owns home,Tech-savvy,Crafting,Humorous,Risk-averse,Never travels,Owns a cat,Computer programmers,"Professional, Scientific, and Technical Services"
34,psid,59,1.9378375227835456,,,,36,Female,Master's Degree,Private,Married,Connecticut,High agreeableness,High neuroticism,Introverted,Playing sports,Sedentary,Democrat,Planning to have children,Middle income,Owns home,Tech-savvy,Gardening,Direct,Risk-averse,Frequent traveler,No pets,Management analysts,"Professional, Scientific, and Technical Services"
35,psid,43,-0.14502491503739257,,,,34,Male,Master's Degree,Private,Married,New Jersey,High conscientiousness,High conscientiousness,Very social,Playing sports,Sedentary,Democrat,Undecided,Middle income,Rents,Tech-savvy,Photography,Reserved,High risk-taker,Never travels,Owns other pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
36,psid,48,0.4752977533802084,,,,35,Male,Bachelor's Degree,Private,Single,Canada,High neuroticism,High agreeableness,Loves puzzles,Reading,Balanced,Libertarian,Does not have children,Middle income,Rents,Tech-savvy,Hiking,Direct,Moderate risk-taker,Frequent traveler,No pets,Computer programmers,"Professional, Scientific, and Technical Services"
37,psid,32,0.8014061246461224,,,,31,Male,Bachelor's Degree,Private,Single,Florida,High conscientiousness,High neuroticism,Very social,Playing sports,Workaholic,Independent,Planning to have children,Middle income,Owns home,Tech-savvy,Playing musical instruments,Open,Moderate risk-taker,Frequent traveler,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
38,psid,32,-0.2765129221966836,,,,31,Male,Bachelor's Degree,Public,Divorced,Canada,High openness,High agreeableness,Introverted,Playing sports,Balanced,Republican,Undecided,Middle income,Rents,Tech-savvy,Photography,Reserved,High risk-taker,Occasional traveler,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
39,psid,26,-0.9806585401126515,,,,40,Male,Bachelor's Degree,Private,Divorced,Florida,High neuroticism,High agreeableness,Extremely organized,Reading,Balanced,Green,Planning to have children,Middle income,Rents,Tech-savvy,Crafting,Open,Risk-averse,Frequent traveler,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
40,psid,65,0.8453583731778246,,,,42,Male,Master's Degree,Private,Married,Pennsylvania,High neuroticism,High neuroticism,Always punctual,Reading,Laid-back,Democrat,Does not have children,Middle income,Rents,Tech-savvy,Gardening,Humorous,Moderate risk-taker,Frequent traveler,No pets,Computer programmers,"Professional, Scientific, and Technical Services"
41,psid,52,-1.3305009160653791,,,,26,Female,Bachelor's Degree,Private,Divorced,Pennsylvania,High agreeableness,High openness,Always punctual,Playing sports,Active,Democrat,Has children,Middle income,Owns home,Tech-savvy,Gardening,Humorous,Risk-averse,Occasional traveler,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
42,psid,4,0.48749863363231677,,,,37,Male,Master's Degree,Public,Divorced,Connecticut,High agreeableness,High conscientiousness,Extremely organized,Cooking,Sedentary,Libertarian,Has children,Middle income,Owns home,Tech-savvy,Hiking,Direct,Moderate risk-taker,Rare traveler,Owns a cat,Computer programmers,"Professional, Scientific, and Technical Services"
43,psid,17,-2.4633896789562573,,,,35,Male,Bachelor's Degree,Private,Married,Connecticut,High openness,High agreeableness,Extremely organized,Cooking,Laid-back,Libertarian,Has children,Middle income,Owns home,Tech-savvy,Gardening,Reserved,Moderate risk-taker,Occasional traveler,Owns other pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
44,psid,52,0.6009557500201486,,,,26,Female,Bachelor's Degree,Private,Married,Pennsylvania,High openness,High conscientiousness,Introverted,Traveling,Balanced,Green,Undecided,Middle income,Rents,Tech-savvy,Hiking,Direct,Moderate risk-taker,Occasional traveler,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
45,psid,51,0.4641899528857476,,,,31,Male,Bachelor's Degree,Public,Divorced,New Jersey,High extraversion,High openness,Introverted,Playing sports,Sedentary,Green,Does not have children,Middle income,Owns home,Tech-savvy,Photography,Direct,Moderate risk-taker,Frequent traveler,Owns other pets,Computer programmers,"Professional, Scientific, and Technical Services"
46,psid,18,0.2574562544545469,,,,36,Female,Bachelor's Degree,Self-Employed,Single,Canada,High extraversion,High extraversion,Extremely organized,Gaming,Balanced,Republican,Has children,Middle income,Owns home,Tech-savvy,Hiking,Reserved,Moderate risk-taker,Rare traveler,Owns a cat,Management analysts,"Professional, Scientific, and Technical Services"
47,psid,42,-0.22558782063034055,,,,29,Male,Bachelor's Degree,Public,Married,Florida,High openness,High conscientiousness,Loves puzzles,Reading,Laid-back,Libertarian,Planning to have children,Middle income,Owns home,Tech-savvy,Gardening,Open,Moderate risk-taker,Rare traveler,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
48,psid,59,0.3386028011649179,,,,36,Female,Master's Degree,Private,Single,California,High agreeableness,High openness,Very social,Playing sports,Workaholic,Republican,Has children,Middle income,Owns home,Tech-savvy,Hiking,Direct,High risk-taker,Never travels,No pets,Management analysts,"Professional, Scientific, and Technical Services"
49,psid,23,1.4149718371931919,,,,39,Male,Bachelor's Degree,Private,Married,California,High openness,High conscientiousness,Always punctual,Reading,Sedentary,Independent,Undecided,Middle income,Rents,Tech-savvy,Gardening,Humorous,Moderate risk-taker,Frequent traveler,No pets,Computer programmers,"Professional, Scientific, and Technical Services"
50,psid,47,0.9510530230732316,,,,32,Female,Master's Degree,Private,Married,Connecticut,High neuroticism,High neuroticism,Always punctual,Playing sports,Active,Green,Undecided,Middle income,Owns home,Tech-savvy,Crafting,Open,Risk-averse,Never travels,Owns other pets,Computer programmers,"Professional, Scientific, and Technical Services"
51,psid,58,1.2664452253994423,,,,38,Male,Master's Degree,Private,Married,California,High neuroticism,High conscientiousness,Always punctual,Cooking,Workaholic,Democrat,Undecided,Middle income,Owns home,Tech-savvy,Crafting,Direct,High risk-taker,Occasional traveler,Owns other pets,Biological and life scientists,"Professional, Scientific, and Technical Services"
52,psid,0,-1.397275240429164,,,,38,Female,Bachelor's Degree,Private,Married,Connecticut,High openness,High conscientiousness,Always punctual,Cooking,Laid-back,Republican,Has children,Middle income,Rents,Tech-savvy,Playing musical instruments,Open,High risk-taker,Frequent traveler,Owns other pets,Biological and life scientists,"Professional, Scientific, and Technical Services"
53,psid,0,-1.6225241976347664,,,,38,Female,Bachelor's Degree,Private,Married,California,High conscientiousness,High extraversion,Loves puzzles,Traveling,Balanced,Libertarian,Planning to have children,Middle income,Owns home,Tech-savvy,Playing musical instruments,Diplomatic,Risk-averse,Never travels,Owns other pets,Biological and life scientists,"Professional, Scientific, and Technical Services"
54,psid,60,0.7505171496466481,,,,26,Female,Bachelor's Degree,Public,Divorced,Pennsylvania,High extraversion,High neuroticism,Introverted,Cooking,Balanced,Libertarian,Undecided,Middle income,Rents,Tech-savvy,Playing musical instruments,Reserved,High risk-taker,Rare traveler,Owns other pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
55,psid,10,0.7901123690550609,,,,41,Male,Associate's Degree,Private,Single,New York,High agreeableness,High extraversion,Extremely organized,Playing sports,Workaholic,Green,Planning to have children,Middle income,Rents,Tech-savvy,Gardening,Humorous,Risk-averse,Frequent traveler,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
56,psid,64,-1.011811413310065,,,,44,Male,Master's Degree,Self-Employed,Divorced,Pennsylvania,High neuroticism,High conscientiousness,Very social,Gaming,Laid-back,Independent,Planning to have children,Middle income,Owns home,Tech-savvy,Hiking,Reserved,Risk-averse,Never travels,Owns a dog,Biological and life scientists,"Professional, Scientific, and Technical Services"
57,psid,66,-0.038188356428265846,,,,40,Male,Bachelor's Degree,Public,Married,Canada,High neuroticism,High neuroticism,Loves puzzles,Gaming,Workaholic,Green,Does not have children,Middle income,Rents,Tech-savvy,Hiking,Diplomatic,Risk-averse,Never travels,Owns a cat,Management analysts,"Professional, Scientific, and Technical Services"
58,psid,30,0.3682059729382938,,,,42,Male,Bachelor's Degree,Private,Divorced,Florida,High extraversion,High neuroticism,Loves puzzles,Traveling,Active,Green,Does not have children,Middle income,Rents,Tech-savvy,Hiking,Diplomatic,Moderate risk-taker,Never travels,Owns a dog,Computer programmers,"Professional, Scientific, and Technical Services"
59,psid,27,1.1233390285400153,,,,31,Female,Bachelor's Degree,Private,Single,California,High agreeableness,High extraversion,Very social,Cooking,Sedentary,Libertarian,Planning to have children,Middle income,Owns home,Tech-savvy,Playing musical instruments,Direct,Risk-averse,Rare traveler,No pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
60,psid,8,-0.3290734904320365,,,,42,Male,Bachelor's Degree,Public,Divorced,Canada,High openness,High openness,Always punctual,Traveling,Active,Independent,Planning to have children,Middle income,Rents,Tech-savvy,Crafting,Diplomatic,Moderate risk-taker,Occasional traveler,No pets,Management analysts,"Professional, Scientific, and Technical Services"
61,psid,67,-0.5033014083721705,,,,33,Male,Bachelor's Degree,Private,Divorced,Connecticut,High openness,High extraversion,Extremely organized,Playing sports,Laid-back,Independent,Undecided,Middle income,Rents,Tech-savvy,Photography,Reserved,Moderate risk-taker,Frequent traveler,Owns other pets,Computer programmers,"Professional, Scientific, and Technical Services"
62,psid,68,-1.3472600124153822,,,,44,Male,Bachelor's Degree,Private,Divorced,New York,High neuroticism,High agreeableness,Extremely organized,Traveling,Balanced,Republican,Does not have children,Middle income,Owns home,Tech-savvy,Gardening,Direct,Moderate risk-taker,Frequent traveler,No pets,Biological and life scientists,"Professional, Scientific, and Technical Services"
63,psid,51,0.4484003497130431,,,,31,Male,Bachelor's Degree,Private,Single,New Jersey,High extraversion,High extraversion,Always punctual,Traveling,Sedentary,Libertarian,Has children,Middle income,Owns home,Tech-savvy,Gardening,Humorous,Moderate risk-taker,Occasional traveler,Owns other pets,Computer programmers,"Professional, Scientific, and Technical Services"
64,psid,4,0.5106386875089662,,,,37,Male,Master's Degree,Public,Single,Connecticut,High conscientiousness,High neuroticism,Loves puzzles,Reading,Sedentary,Independent,Has children,Middle income,Rents,Tech-savvy,Photography,Direct,Moderate risk-taker,Occasional traveler,Owns a cat,Computer programmers,"Professional, Scientific, and Technical Services"
65,psid,4,0.48031520418703016,,,,37,Male,Master's Degree,Public,Married,New York,High extraversion,High extraversion,Extremely organized,Playing sports,Laid-back,Green,Undecided,Middle income,Rents,Tech-savvy,Gardening,Humorous,High risk-taker,Occasional traveler,Owns a cat,Computer programmers,"Professional, Scientific, and Technical Services"
66,psid,65,-0.5790286019839916,,,,42,Male,Master's Degree,Private,Divorced,Pennsylvania,High extraversion,High agreeableness,Extremely organized,Playing sports,Balanced,Democrat,Has children,Middle income,Rents,Tech-savvy,Gardening,Direct,High risk-taker,Never travels,Owns other pets,Computer programmers,"Professional, Scientific, and Technical Services"
67,psid,67,0.2609874619895197,,,,33,Male,Bachelor's Degree,Public,Divorced,Canada,High openness,High conscientiousness,Very social,Traveling,Sedentary,Green,Undecided,Middle income,Owns home,Tech-savvy,Gardening,Diplomatic,Moderate risk-taker,Frequent traveler,Owns a dog,Computer programmers,"Professional, Scientific, and Technical Services"
68,psid,59,1.263567961763247,,,,36,Female,Master's Degree,Private,Single,Florida,High extraversion,High openness,Extremely organized,Playing sports,Sedentary,Republican,Undecided,Middle income,Owns home,Tech-savvy,Photography,Reserved,Risk-averse,Rare traveler,Owns a cat,Management analysts,"Professional, Scientific, and Technical Services"
69,psid,64,1.5698308604169902,,,,44,Male,Master's Degree,Private,Married,Canada,High conscientiousness,High extraversion,Very social,Cooking,Workaholic,Libertarian,Undecided,Middle income,Rents,Tech-savvy,Playing musical instruments,Humorous,Risk-averse,Rare traveler,Owns a cat,Biological and life scientists,"Professional, Scientific, and Technical Services"
70,psid,23,-0.8863915979466441,,,,39,Male,Bachelor's Degree,Private,Divorced,Canada,High neuroticism,High extraversion,Extremely organized,Cooking,Balanced,Republican,Undecided,Middle income,Rents,Tech-savvy,Crafting,Humorous,High risk-taker,Frequent traveler,Owns other pets,Computer programmers,"Professional, Scientific, and Technical Services"
71,psid,82,1.106566088704426,,,,43,Male,Master's Degree,Private,Divorced,Canada,High conscientiousness,High extraversion,Very social,Cooking,Laid-back,Republican,Does not have children,Middle income,Owns home,Tech-savvy,Crafting,Open,High risk-taker,Rare traveler,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
72,psid,31,1.4724309505556876,,,,37,Male,Associate's Degree,Private,Married,Pennsylvania,High conscientiousness,High agreeableness,Loves puzzles,Gaming,Active,Independent,Undecided,Middle income,Rents,Tech-savvy,Hiking,Diplomatic,Risk-averse,Frequent traveler,Owns a dog,Computer programmers,"Professional, Scientific, and Technical Services"
73,psid,46,-0.5579352875323971,,,,37,Female,Bachelor's Degree,Private,Married,Florida,High extraversion,High neuroticism,Introverted,Playing sports,Balanced,Independent,Planning to have children,Middle income,Rents,Tech-savvy,Gardening,Humorous,High risk-taker,Never travels,Owns a dog,Computer programmers,"Professional, Scientific, and Technical Services"
74,psid,0,-1.1513426440194048,,,,38,Female,Bachelor's Degree,Private,Divorced,Florida,High conscientiousness,High extraversion,Always punctual,Cooking,Active,Republican,Does not have children,Middle income,Rents,Tech-savvy,Crafting,Diplomatic,Risk-averse,Occasional traveler,Owns a cat,Biological and life scientists,"Professional, Scientific, and Technical Services"
75,psid,26,1.3184111894575719,,,,40,Male,Bachelor's Degree,Private,Single,Canada,High openness,High extraversion,Always punctual,Gaming,Sedentary,Independent,Undecided,Middle income,Rents,Tech-savvy,Crafting,Diplomatic,High risk-taker,Frequent traveler,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
76,psid,59,1.2925029782274364,,,,36,Female,Master's Degree,Private,Married,Florida,High neuroticism,High openness,Very social,Traveling,Active,Independent,Has children,Middle income,Rents,Tech-savvy,Playing musical instruments,Humorous,Risk-averse,Frequent traveler,Owns a dog,Management analysts,"Professional, Scientific, and Technical Services"
77,psid,24,0.6814191694497606,,,,36,Female,Master's Degree,Public,Single,Canada,High extraversion,High agreeableness,Very social,Cooking,Sedentary,Independent,Has children,Middle income,Owns home,Tech-savvy,Photography,Diplomatic,High risk-taker,Never travels,Owns other pets,Management analysts,"Professional, Scientific, and Technical Services"
78,psid,68,-0.15426443256837857,,,,44,Male,Bachelor's Degree,Private,Married,Canada,High neuroticism,High conscientiousness,Always punctual,Traveling,Laid-back,Republican,Does not have children,Middle income,Rents,Tech-savvy,Gardening,Diplomatic,High risk-taker,Never travels,No pets,Biological and life scientists,"Professional, Scientific, and Technical Services"
79,psid,36,-0.4041753813459712,,,,32,Male,Associate's Degree,Private,Married,Pennsylvania,High agreeableness,High neuroticism,Introverted,Cooking,Active,Democrat,Undecided,Middle income,Rents,Tech-savvy,Playing musical instruments,Diplomatic,Risk-averse,Frequent traveler,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
80,psid,23,-0.17662185159500826,,,,39,Male,Bachelor's Degree,Private,Divorced,Connecticut,High agreeableness,High conscientiousness,Introverted,Reading,Active,Green,Has children,Middle income,Rents,Tech-savvy,Crafting,Humorous,Moderate risk-taker,Frequent traveler,Owns a cat,Computer programmers,"Professional, Scientific, and Technical Services"
81,psid,8,0.5386068078621664,,,,42,Male,Bachelor's Degree,Private,Married,California,High neuroticism,High openness,Loves puzzles,Reading,Balanced,Republican,Undecided,Middle income,Rents,Tech-savvy,Photography,Direct,High risk-taker,Rare traveler,Owns a cat,Management analysts,"Professional, Scientific, and Technical Services"
82,psid,11,2.339577519688969,,,,38,Male,Master's Degree,Private,Single,Connecticut,High extraversion,High conscientiousness,Very social,Traveling,Active,Libertarian,Has children,Middle income,Owns home,Tech-savvy,Hiking,Open,High risk-taker,Frequent traveler,Owns other pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
83,psid,8,-3.0574066340076564,,,,42,Male,Bachelor's Degree,Private,Single,California,High conscientiousness,High neuroticism,Loves puzzles,Gaming,Workaholic,Green,Undecided,Middle income,Rents,Tech-savvy,Gardening,Diplomatic,Risk-averse,Occasional traveler,Owns a cat,Management analysts,"Professional, Scientific, and Technical Services"
