arm,seed,gap_t0_pct,gap_pct,winner_ahead_pct,amplification,group_gap_pct,t_stat
"baseline (fair coin, memory on)",6,12.067117328105157,15.63384272077549,72.5,1.2750050972128972,-1.3306494669658508,11.485825137258377
no anchoring,6,12.067117328105157,2.421771290614906,54.0,0.21003759457665327,0.3484957652792701,2.165633648623825
no ladder,6,12.067117328105157,10.245877359344233,70.25,0.8561822640829801,-2.094384332541152,9.08225205288184
no wage compounding,6,12.067117328105157,11.4084436292251,68.25,0.948258150122305,-1.4314340926988862,8.969709020466938
no memory (fair coin),6,12.067117328105157,-0.06419440534317891,50.74999999999999,-0.005636467744590804,-0.7333905337339052,-0.058848235650516306
"always A, memory on",6,11.998108230224199,12.208122859799282,66.0,1.0165331983547756,12.208122859799282,9.016496951274423
"always A, no memory",6,11.998108230224199,-0.7333905337339052,50.74999999999999,-0.06496173392666973,-0.7333905337339052,-0.6749560022384266
"baseline (fair coin, memory on)",7,12.075362743402941,15.010864640943794,73.5,1.2267962134495014,-1.373227849256777,11.94604071894454
no anchoring,7,12.075362743402941,0.6906461641120678,52.25,0.06037403806174765,-1.2099854444868794,0.7037364475303086
no ladder,7,12.075362743402941,11.723698693163884,69.5,0.9724329618498289,-1.179950867862186,10.515260488184403
no wage compounding,7,12.075362743402941,10.943274162990123,67.25,0.9109440337982181,-1.6195480807971148,9.397765329562128
no memory (fair coin),7,12.075362743402941,-0.4072030043633627,48.75,-0.03579206446134052,-0.8871249841463172,-0.3669605540370891
"always A, memory on",7,11.91750957649181,11.807979214472395,70.75,0.9913035506956118,11.807979214472395,9.501092112045937
"always A, no memory",7,11.91750957649181,-0.8871249841463172,49.25,-0.0791427648583443,-0.8871249841463172,-0.8018948325325818
"baseline (fair coin, memory on)",8,11.993839950153774,14.637458637672493,72.75,1.205967926952916,-0.8821637329002273,10.771603940692529
no anchoring,8,11.993839950153774,3.8177867459975623,54.0,0.33076637830212124,0.8594695979739408,3.425745539709446
no ladder,8,11.993839950153774,10.2481272609741,69.25,0.8613063424331597,-0.6188646017084212,9.254163695464957
no wage compounding,8,11.993839950153774,9.858760271769002,65.0,0.8300723916059399,-1.1501526628876868,7.926449224981236
no memory (fair coin),8,11.993839950153774,1.1449419439056059,51.0,0.10050322847288178,1.1312193067446474,1.1214199690764386
"always A, memory on",8,12.044121734948662,12.6744912497361,70.25,1.0493333599674997,12.6744912497361,9.491032047340077
"always A, no memory",8,12.044121734948662,1.1598760364086464,53.0,0.10140478040659151,1.1598760364086464,1.13947192145694
"baseline (fair coin, memory on)",9,12.013559876961008,13.986637474910948,70.25,1.1539121272241724,-0.0435513904004529,11.298279671639012
no anchoring,9,12.013559876961008,3.486724491041383,56.49999999999999,0.30209985667229244,-2.6895022707469725,3.209356987287012
no ladder,9,12.013559876961008,11.459422660208714,69.5,0.9562860911001094,0.04849721325492516,10.259349836170074
no wage compounding,9,12.013559876961008,9.78483765807331,65.0,0.8228510366744627,0.4392405304625713,8.462388734301054
no memory (fair coin),9,12.013559876961008,1.060985457338365,53.0,0.0930276637544641,-0.745229290462797,1.0074091668125609
"always A, memory on",9,11.970991738988184,13.765371272870736,69.75,1.1406066564564192,13.765371272870736,10.910431115869688
"always A, no memory",9,11.970991738988184,-0.745229290462797,47.0,-0.06615568378732993,-0.745229290462797,-0.7135571438945845
"baseline (fair coin, memory on)",10,12.00315728588232,14.018459477264795,66.5,1.1573199647648067,-0.8287900255123983,9.841644559841779
no anchoring,10,12.00315728588232,1.4577955802393026,47.0,0.12767394069040458,-1.9633897865284966,1.2943954356446645
no ladder,10,12.00315728588232,10.234194853040002,69.0,0.8595593408222981,-0.2688106781850395,8.84222148182637
no wage compounding,10,12.00315728588232,10.300629109891249,65.25,0.8648742646909278,-0.5220006538410047,7.707258751045094
no memory (fair coin),10,12.00315728588232,0.0018503888826915825,48.5,0.00016323418970616818,-0.6348077256608922,0.0017131635238986673
"always A, memory on",10,11.971510559142336,11.77817423469962,64.0,0.9847166947562724,11.77817423469962,8.609460843533954
"always A, no memory",10,11.971510559142336,-0.6348077256608922,50.5,-0.05631972021574703,-0.6348077256608922,-0.589866094224939
"baseline (fair coin, memory on)",11,11.99531018222649,14.412498909506018,70.5,1.1884891271539446,0.45055514564647314,10.41074918705702
no anchoring,11,11.99531018222649,2.749599711172901,52.5,0.23943450585729342,0.44199140858274794,2.5797461721309025
no ladder,11,11.99531018222649,11.321494358225333,69.5,0.9467313411458987,-0.278371006877053,9.550575913774022
no wage compounding,11,11.99531018222649,9.422221927352044,64.0,0.7948304662366021,0.6443747528386706,7.201317541428839
no memory (fair coin),11,11.99531018222649,0.9953639313635911,52.75,0.0874279012494772,-0.40407181527451114,0.9336480959302823
"always A, memory on",11,11.96255750801144,14.306439968703618,70.5,1.1833579262531226,14.306439968703618,10.620238840738132
"always A, no memory",11,11.96255750801144,-0.40407181527451114,48.25,-0.03583280877076282,-0.40407181527451114,-0.38132608698045695
"baseline (fair coin, memory on)",12,12.054628147541539,14.869226213592732,73.5,1.217963599073949,-0.08597114866180917,11.284051596683005
no anchoring,12,12.054628147541539,3.3774719173758285,55.25,0.29184637033236194,-0.6756146335909863,3.4820321524656572
no ladder,12,12.054628147541539,12.051274787004118,69.0,0.9997370625673431,-0.8246692442504259,10.847233668528983
no wage compounding,12,12.054628147541539,9.834813058077966,65.75,0.8241994956175899,-0.16698624721753694,8.0352112826108
no memory (fair coin),12,12.054628147541539,0.6341455369139781,49.75,0.05554065595391766,-1.4173955340914755,0.624699748362016
"always A, memory on",12,11.914069080772908,13.378652582922907,70.75,1.1155086655058974,13.378652582922907,10.272184354940451
"always A, no memory",12,11.914069080772908,-1.3894609846504795,46.75,-0.12430615240451534,-1.3894609846504795,-1.3821471496246909
"baseline (fair coin, memory on)",13,12.023085718544205,11.787005329517449,69.25,0.9814184705862237,-1.4504274927446432,8.925642448383908
no anchoring,13,12.023085718544205,0.7314036481111108,50.74999999999999,0.06418665897915778,-0.5984264385511922,0.6900437368501797
no ladder,13,12.023085718544205,9.116288124497657,67.25,0.768434007958008,-2.1337015167852895,8.358886881934573
no wage compounding,13,12.023085718544205,8.06403437297568,64.25,0.6830838252216757,-1.5262266682788355,6.565557720264348
no memory (fair coin),13,12.023085718544205,-0.7821496809102654,48.75,-0.06916157937676334,-0.8507767559174515,-0.6970028790153496
"always A, memory on",13,11.930603028172737,11.791145207657632,68.25,0.9889386891601284,11.791145207657632,8.890525958499769
"always A, no memory",13,11.930603028172737,-0.8226816483297228,48.25,-0.07329363645836823,-0.8226816483297228,-0.7351454473480697
"baseline (fair coin, memory on)",14,12.005272677711064,14.115620617193287,70.0,1.164640152554651,-1.0412415604213767,10.980602062773773
no anchoring,14,12.005272677711064,1.2702232518195875,51.5,0.1113309907478462,0.08485232494438802,1.1894529130447238
no ladder,14,12.005272677711064,11.498125971552819,71.25,0.9599723585495193,-1.7317007897815935,10.31909882402898
no wage compounding,14,12.005272677711064,9.759690923568243,65.25,0.8213674658260268,-1.101943358696009,8.159239473549352
no memory (fair coin),14,12.005272677711064,0.42710875717424884,51.74999999999999,0.037591741855062324,0.3384920631336739,0.39527795936317445
"always A, memory on",14,11.924878680475345,12.633091659794967,66.25,1.0559894022165286,12.633091659794967,9.769531074809745
"always A, no memory",14,11.924878680475345,0.3384920631336739,49.75,0.029995319065093853,0.3384920631336739,0.3133811387992502
"baseline (fair coin, memory on)",15,12.002309306255288,14.244606637692197,71.25,1.1748782870058228,-1.0589200633039286,10.947596110164676
no anchoring,15,12.002309306255288,2.880027198922508,55.50000000000001,0.25049416184662826,-1.1536776022979238,2.8247267557063584
no ladder,15,12.002309306255288,11.036046828142691,68.5,0.9235584622308862,-1.5231876165450364,9.440848266144009
no wage compounding,15,12.002309306255288,9.363836280393995,67.75,0.7896835896368952,-0.9363829817436333,7.544408608398088
no memory (fair coin),15,12.002309306255288,0.9202083835252397,49.5,0.08081216475248684,-0.7809745375586996,0.896851535483696
"always A, memory on",15,11.991780544403696,12.467626100170833,69.0,1.0374369396281762,12.467626100170833,9.612958900126879
"always A, no memory",15,11.991780544403696,-0.7809745375586996,51.0,-0.06922767873224031,-0.7809745375586996,-0.7674431845362758
"baseline (fair coin, memory on)",16,12.056304699985972,11.479393716023987,65.0,0.954654806378551,-2.377173951035527,8.851988857148077
no anchoring,16,12.056304699985972,2.6383645889793796,57.99999999999999,0.22877368009265134,1.1988905352204893,2.3142043440653737
no ladder,16,12.056304699985972,9.312989390519716,65.75,0.7822546152632814,-2.7678786616636484,8.245848068360948
no wage compounding,16,12.056304699985972,7.284672938956908,60.75000000000001,0.6177178247917473,-2.491116456445178,6.086205939301242
no memory (fair coin),16,12.056304699985972,1.1766008197341729,53.0,0.10276021655366212,0.7702272691162128,1.0452579444580037
"always A, memory on",16,11.953933638776158,11.653998528795277,65.75,0.9762419990307942,11.653998528795277,8.997905322166046
"always A, no memory",16,11.953933638776158,0.7702272691162128,53.0,0.06795027902098466,0.7702272691162128,0.6850938171037358
"baseline (fair coin, memory on)",17,12.026224352228365,12.77927394355548,67.75,1.0589945864919386,0.02067253126843922,9.740247236415842
no anchoring,17,12.026224352228365,1.647496615654116,51.74999999999999,0.14389153606449467,0.11539061548473857,1.5824830705229258
no ladder,17,12.026224352228365,9.3779643982648,67.25,0.7893364580033163,0.17761757252522684,8.229508507063233
no wage compounding,17,12.026224352228365,8.159845263852308,64.0,0.6907190822018875,0.415415215772171,6.795052919033081
no memory (fair coin),17,12.026224352228365,-1.0791287254369748,48.25,-0.09554127874895196,0.09184455012593229,-1.0771841628429257
"always A, memory on",17,11.928583149302854,13.459784203855108,69.25,1.1205726526698705,13.459784203855108,10.079285103930047
"always A, no memory",17,11.928583149302854,0.12020676063329318,50.74999999999999,0.010660545191389958,0.12020676063329318,0.11917242600778565
"baseline (fair coin, memory on)",18,11.993404961625169,14.02677725071602,68.75,1.1588536732429369,1.1038751632435844,10.385716377754845
no anchoring,18,11.993404961625169,2.2333346563071883,51.5,0.19499998711777883,-0.7051863326546836,2.184243592424561
no ladder,18,11.993404961625169,9.819839378604655,67.75,0.8269725368184663,0.0032929079794767396,8.657752053090924
no wage compounding,18,11.993404961625169,8.932783065363296,60.5,0.7553720181773489,1.2079141258984394,6.971338441967999
no memory (fair coin),18,11.993404961625169,-1.748794087773466,46.75,-0.15575785873166317,-0.16471567054893468,-1.731719897732551
"always A, memory on",18,11.958568706418252,15.015075866604166,68.0,1.238444094672994,15.015075866604166,11.122001558524397
"always A, no memory",18,11.958568706418252,-0.13642615942102174,50.74999999999999,-0.012085772158530829,-0.13642615942102174,-0.13356335626056992
"baseline (fair coin, memory on)",19,12.056353561607756,13.106736377820367,68.5,1.0819634580897184,-0.5431214933956201,10.03643836045316
no anchoring,19,12.056353561607756,0.7231625172471079,49.75,0.0633004810494242,-0.1372008279959559,0.6608681180550902
no ladder,19,12.056353561607756,9.567835734114565,66.0,0.8027084140963033,-0.5335370987336617,8.812997959787031
no wage compounding,19,12.056353561607756,8.924495276568777,63.0,0.7509748219204158,-0.09060611829238902,7.283287249088441
no memory (fair coin),19,12.056353561607756,-0.11726370232000864,47.0,-0.010307541216618213,0.7569093867943184,-0.1094586908738526
"always A, memory on",19,11.938807750493709,13.3079814767983,66.75,1.1077940576695189,13.3079814767983,9.844759630774282
"always A, no memory",19,11.938807750493709,0.7854600513059332,53.0,0.06937189860997667,0.7854600513059332,0.7327043028548323
